latitude,longitude,Country,streak_months,streak_start,streak_end,n_users,user_ids,n_obs,Category
48.092295,-1.805945,France,15.0,2023-06,2024-08,1,[16741],15,temporary stream
51.549273,-3.259434,United Kingdom,15.0,2020-08,2021-10,1,[17235],42,temporary stream
47.377942,8.577293,Switzerland,15.0,2021-09,2022-11,1,[35124],52,temporary stream
39.769733,2.714927,Spain,15.0,2019-03,2020-05,1,[12938],55,temporary stream
46.973372,7.477991,Switzerland,15.0,2020-12,2022-02,1,[3065],77,physical scale
48.093881,-1.799795,France,15.0,2023-06,2024-08,1,[16741],16,temporary stream
47.985418,7.959271,Germany,15.0,2020-06,2021-08,1,[11290],201,virtual scale
47.391318,8.579599,Switzerland,15.0,2021-09,2022-11,2,"[35124, 11370]",53,temporary stream
47.396246,8.547143,Switzerland,15.0,2021-02,2022-04,18,"[2203, 6542, 50994, 50990, 50991, 51008, 51009, 51006, 51018, 51017, 33740, 11370, 6400, 57517, 57582, 57568, 57523, 57551]",75,temporary stream
47.39574,8.547442,Switzerland,15.0,2021-02,2022-04,11,"[2203, 6542, 39784, 11596, 51001, 51017, 51009, 11370, 6400, 57568, 57523]",63,temporary stream
47.394035,8.576515,Switzerland,15.0,2021-09,2022-11,2,"[35124, 11370]",53,temporary stream
47.390763,8.580509,Switzerland,15.0,2021-09,2022-11,2,"[35124, 11370]",53,temporary stream
47.390136,8.581164,Switzerland,15.0,2021-09,2022-11,2,"[35124, 11370]",53,temporary stream
47.378601,8.582788,Switzerland,15.0,2021-09,2022-11,1,[35124],52,temporary stream
47.376664,8.583599,Switzerland,15.0,2021-09,2022-11,1,[35124],52,temporary stream
47.395954,8.575262,Switzerland,15.0,2021-09,2022-11,2,"[35124, 11370]",52,temporary stream
41.572633,75.868988,Kyrgyzstan,14.0,2024-09,2025-10,2,"[87715, 85987]",29,virtual scale
47.39641,8.572059,Switzerland,14.0,2021-10,2022-11,2,"[35124, 11370]",49,temporary stream
47.324408,8.479897,Switzerland,14.0,2021-05,2022-06,4,"[6400, 2258, 2267, 3072]",31,temporary stream
42.771621,77.474021,Kyrgyzstan,14.0,2024-08,2025-09,2,"[5659, 87709]",54,virtual scale
47.391665,8.559101,Switzerland,14.0,2023-04,2024-05,1,[35124],30,temporary stream
51.567633,-0.868554,United Kingdom,14.0,2025-03,2026-04,1,[27610],30,temporary stream
51.546418,-3.274238,United Kingdom,13.0,2021-01,2022-01,1,[17235],81,virtual scale
39.769167,2.717064,Spain,13.0,2019-03,2020-03,1,[12938],38,temporary stream
51.545559,-3.274176,United Kingdom,13.0,2021-01,2022-01,1,[17235],75,temporary stream
37.43407,-8.454358,Portugal,13.0,2019-04,2020-04,1,[15038],42,temporary stream
51.567633,-0.868554,United Kingdom,13.0,2024-01,2025-01,1,[27610],27,temporary stream
47.991777,7.87952,Germany,13.0,2024-05,2025-05,4,"[96924, 98295, 99151, 111117]",42,physical scale
48.327996,16.20749,Austria,13.0,2021-08,2022-08,1,[29542],32,virtual scale
-37.841612,-71.689968,Chile,12.0,2020-05,2021-04,5,"[28321, 28317, 28694, 28682, 28674]",156,virtual scale
51.544741,-3.273135,United Kingdom,12.0,2021-02,2022-01,1,[17235],74,temporary stream
39.768207,2.714873,Spain,12.0,2019-03,2020-02,1,[12938],43,temporary stream
39.769743,2.714959,Spain,12.0,2019-03,2020-02,1,[12938],51,temporary stream
39.790712,2.690237,Spain,12.0,2019-03,2020-02,2,"[12938, 11960]",38,temporary stream
39.790791,2.693782,Spain,12.0,2019-03,2020-02,2,"[12938, 11960]",32,temporary stream
39.769792,2.714966,Spain,12.0,2019-03,2020-02,1,[12938],52,temporary stream
39.772332,2.719648,Spain,12.0,2019-03,2020-02,1,[12938],29,temporary stream
47.246763,8.629945,Switzerland,12.0,2019-12,2020-11,1,[24232],34,virtual scale
52.412136,13.825961,Germany,12.0,2020-08,2021-07,1,[29254],106,physical scale
